jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.154332131,1.740113909,90,0.35,1369.395359,15.21550398,-2730.676326,-30.34084807
0.186839269,1.914624363,70,0.35,1566.934842,22.38478345,-3143.666384,-44.90951977
0.182283734,1.89113904,75,0.35,1572.597771,20.96797028,-3180.586263,-42.40781683
0.176573537,1.861282565,80,0.35,1572.154284,19.65192855,-3157.822988,-39.47278735
0.172009761,1.83707145,85,0.35,1574.802805,18.52709183,-3185.608571,-37.4777479
0.167355967,1.81204969,90,0.35,1570.895971,17.45439968,-3169.684599,-35.21871777
0.194278814,1.952370438,70,0.35,1757.925303,25.11321861,-3506.376658,-50.09109511
0.190244605,1.931993569,75,0.35,1766.368374,23.55157832,-3550.233908,-47.33645211
0.186101605,1.910841044,80,0.35,1762.923649,22.03654562,-3552.345639,-44.40432049
0.180689529,1.88285118,85,0.35,1775.066077,20.88313031,-3592.505922,-42.26477555
0.176573537,1.861282565,90,0.35,1773.620853,19.70689837,-3592.259248,-39.91399165
0.198904888,1.975478144,70,0.35,1951.711864,27.88159806,-3864.075444,-55.20107777
0.195364168,1.957816379,75,0.35,1951.571266,26.02095021,-3867.923409,-51.57231212
0.191725871,1.939500344,80,0.35,1950.860441,24.38575551,-3869.210454,-48.36513068
0.188010559,1.920616353,85,0.35,1949.6681,22.93727177,-3868.08139,-45.50683988
0.184236417,1.901241304,90,0.35,1948.077556,21.64530618,-3864.684919,-42.94094354
0.170272966,1.827773399,70,0.35,911.4295348,13.02042193,-1233.376802,-17.6196686
0.157606202,1.758474819,75,0.35,914.9587629,12.19945017,-1199.912457,-15.99883276
0.145931263,1.692090833,80,0.35,918.9146766,11.48643346,-1170.28697,-14.62858712
0.134439924,1.624103234,85,0.35,926.4132297,10.89897917,-1130.240068,-13.29694198
0.123684692,1.557784857,90,0.35,938.8858244,10.43206472,-1080.658119,-12.00731243
0.209515928,2.027486745,70,0.35,1144.327967,16.34754238,-1641.425774,-23.44893963
0.197489618,1.968437531,75,0.35,1143.290677,15.2438757,-1629.710123,-21.7294683
0.186733821,1.914084001,80,0.35,1144.544359,14.30680448,-1614.230473,-20.17788091
0.175653232,1.856425709,85,0.35,1143.150385,13.44882806,-1601.154111,-18.83710719
0.164996873,1.799232794,90,0.35,1144.876546,12.72085051,-1574.52907,-17.49476745
0.239065437,2.165747879,70,0.35,1381.259579,19.73227969,-2030.312202,-29.00446003
